timestamp,username,role,event,detail,ip
2026-06-12 03:44:10,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:11,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:12,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:13,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:14,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:17,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:18,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:19,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:26,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:27,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:29,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:34,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-06-12 03:45:30,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-06-12 03:45:41,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
